rank,gene,score
1,Edil3,0.005099
2,Dbndd2,0.003887
3,Gng13,0.003866
4,Ildr2,0.003786
5,Rgcc,0.003579
6,Penk,0.003510
7,Ncdn,0.003279
8,Lmo4,0.003205
9,Mfap3l,0.003203
10,Aldh2,0.003163
11,Tmem229a,0.003140
12,Rab3b,0.003002
13,Sez6,0.002978
14,Gabra1,0.002944
15,Sept4,0.002919
16,Ptn,0.002888
17,Ctxn1,0.002875
18,mt-Atp8,0.002869
19,Psat1,0.002857
20,Enpp2,0.002845
21,Sat1,0.002700
22,Clmp,0.002685
23,Nudt4,0.002675
24,Acsbg1,0.002670
25,Slc25a39,0.002666
26,Atp2b4,0.002665
27,Snx18,0.002501
28,Id3,0.002501
29,Fscn1,0.002498
30,Reln,0.002495
