rank,gene,score
1,Col1a2,0.004300
2,Bpifa1,0.004071
3,Clec4b1,0.003967
4,Bst2,0.003883
5,Clmn,0.003818
6,Edil3,0.003562
7,Clmp,0.003556
8,Cbr2,0.003448
9,Cav2,0.003431
10,Col8a1,0.003393
11,Chil6,0.003331
12,Col11a1,0.003281
13,Car13,0.003278
14,Cfap126,0.003274
15,B230209E15Rik,0.003236
16,Ces1d,0.003191
17,Bpifb4,0.003188
18,Art3,0.003163
19,Cks2,0.003055
20,Arhgef38,0.003052
21,Bpifa6,0.003009
22,Chrdl2,0.002994
23,Col12a1,0.002984
24,Bpifb9b,0.002982
25,Cdca2,0.002975
26,Cldn9,0.002958
27,B4galnt3,0.002956
28,Chtf8,0.002916
29,Bfsp2,0.002879
30,Cmah,0.002861
